,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
20,1862,NA,1,18,10,"[[('complet', 5), ('nervous', 2), ('circuit', 2), ('condit', 2), ('kind', 2), ('differ', 1), ('action', 1), ('exist', 1), ('apparatus', 1), ('fundament', 1)]]","[[('complet', 5), ('nervous', 2), ('circuit', 2), ('condit', 2), ('kind', 2), ('differ', 1), ('action', 1), ('exist', 1), ('apparatus', 1), ('fundament', 1)]]","[[('complet', 5), ('nervous', 2), ('circuit', 2), ('condit', 2), ('kind', 2), ('differ', 1), ('action', 1), ('exist', 1), ('apparatus', 1), ('fundament', 1)]]","[[('complet', 5), ('nervous', 2), ('circuit', 2), ('condit', 2), ('kind', 2), ('differ', 1), ('action', 1), ('exist', 1), ('apparatus', 1), ('fundament', 1)]]",0,,1,"[[('complet', 5)]]",2,"[[('complet', 5), ('nervous', 2)]]",2,"[[('complet', 5), ('nervous', 2)]]"
21,1863,NA,1,28,7,"[[('minut', 7), ('question', 6), ('anatom', 6), ('inquiri', 4), ('differ', 3), ('nervous', 1), ('system', 1)]]","[[('minut', 7), ('question', 6), ('anatom', 6), ('inquiri', 4), ('differ', 3), ('nervous', 1), ('system', 1)]]","[[('minut', 7), ('question', 6), ('anatom', 6), ('inquiri', 4), ('differ', 3), ('nervous', 1), ('system', 1)]]","[[('minut', 7), ('question', 6), ('anatom', 6), ('inquiri', 4), ('differ', 3), ('nervous', 1), ('system', 1)]]",0,,1,"[[('minut', 7)]]",1,"[[('minut', 7)]]",2,"[[('minut', 7), ('question', 6)]]"
22,1864,NA,,,,,,,,,,,,,,,
23,1865,NA,,,,,,,,,,,,,,,
24,1866,NA,,,,,,,,,,,,,,,
25,1867,NA,,,,,,,,,,,,,,,
26,1868,NA,,,,,,,,,,,,,,,
27,1869,NA,,,,,,,,,,,,,,,
28,1870,NA,1,23,9,"[[('stabl', 4), ('residu', 4), ('barrier', 3), ('helix', 3), ('height', 3), ('appar', 2), ('aggreg', 2), ('doubl', 1), ('air', 1)]]","[[('stabl', 4), ('residu', 4), ('barrier', 3), ('helix', 3), ('height', 3), ('appar', 2), ('aggreg', 2), ('doubl', 1), ('air', 1)]]","[[('stabl', 4), ('residu', 4), ('barrier', 3), ('helix', 3), ('height', 3), ('appar', 2), ('aggreg', 2), ('doubl', 1), ('air', 1)]]","[[('stabl', 4), ('residu', 4), ('barrier', 3), ('helix', 3), ('height', 3), ('appar', 2), ('aggreg', 2), ('doubl', 1), ('air', 1)]]",0,,1,"[[('stabl', 4)]]",2,"[[('stabl', 4), ('residu', 4)]]",2,"[[('stabl', 4), ('residu', 4)]]"
29,1871,NA,,,,,,,,,,,,,,,
30,1872,NA,,,,,,,,,,,,,,,
31,1873,NA,,,,,,,,,,,,,,,
32,1874,NA,,,,,,,,,,,,,,,
33,1875,NA,,,,,,,,,,,,,,,
34,1876,NA,,,,,,,,,,,,,,,
35,1877,NA,,,,,,,,,,,,,,,
36,1878,NA,,,,,,,,,,,,,,,
37,1879,NA,,,,,,,,,,,,,,,
38,1880,NA,,,,,,,,,,,,,,,
39,1881,NA,,,,,,,,,,,,,,,
40,1882,NA,1,23,9,"[[('cell', 7), ('adjac', 4), ('protoplasm', 3), ('pulvinus', 2), ('pit', 2), ('wall', 2), ('continu', 1), ('preliminari', 1), ('note', 1)]]","[[('cell', 7), ('adjac', 4), ('protoplasm', 3), ('pulvinus', 2), ('pit', 2), ('wall', 2), ('continu', 1), ('preliminari', 1), ('note', 1)]]","[[('cell', 7), ('adjac', 4), ('protoplasm', 3), ('pulvinus', 2), ('pit', 2), ('wall', 2), ('continu', 1), ('preliminari', 1), ('note', 1)]]","[[('cell', 7), ('adjac', 4), ('protoplasm', 3), ('pulvinus', 2), ('pit', 2), ('wall', 2), ('continu', 1), ('preliminari', 1), ('note', 1)]]",0,,1,"[[('cell', 7)]]",2,"[[('cell', 7), ('adjac', 4)]]",2,"[[('cell', 7), ('adjac', 4)]]"
41,1883,NA,,,,,,,,,,,,,,,
42,1884,NA,,,,,,,,,,,,,,,
43,1885,NA,,,,,,,,,,,,,,,
44,1886,NA,,,,,,,,,,,,,,,
45,1887,NA,1,28,7,"[[('deal', 7), ('paper', 6), ('certain', 6), ('experi', 4), ('present', 3), ('bend', 1), ('tentacl', 1)]]","[[('deal', 7), ('paper', 6), ('certain', 6), ('experi', 4), ('present', 3), ('bend', 1), ('tentacl', 1)]]","[[('deal', 7), ('paper', 6), ('certain', 6), ('experi', 4), ('present', 3), ('bend', 1), ('tentacl', 1)]]","[[('deal', 7), ('paper', 6), ('certain', 6), ('experi', 4), ('present', 3), ('bend', 1), ('tentacl', 1)]]",0,,1,"[[('deal', 7)]]",1,"[[('deal', 7)]]",2,"[[('deal', 7), ('paper', 6)]]"
46,1888,NA,,,,,,,,,,,,,,,
47,1889,NA,,,,,,,,,,,,,,,
48,1890,NA,1,8,8,"[[('proteid', 1), ('food', 1), ('conclus', 1), ('studi', 1), ('occurr', 1), ('iron', 1), ('present', 1), ('paper', 1)]]","[[('proteid', 1), ('food', 1), ('conclus', 1), ('studi', 1), ('occurr', 1), ('iron', 1), ('present', 1), ('paper', 1)]]","[[('proteid', 1), ('food', 1), ('conclus', 1), ('studi', 1), ('occurr', 1), ('iron', 1), ('present', 1), ('paper', 1)]]","[[('proteid', 1), ('food', 1), ('conclus', 1), ('studi', 1), ('occurr', 1), ('iron', 1), ('present', 1), ('paper', 1)]]",0,,1,"[[('proteid', 1)]]",2,"[[('proteid', 1), ('food', 1)]]",2,"[[('proteid', 1), ('food', 1)]]"
49,1891,NA,,,,,,,,,,,,,,,
50,1892,NA,,,,,,,,,,,,,,,
51,1893,NA,1,24,13,"[[('spore', 4), ('cell', 3), ('mean', 2), ('origin', 2), ('protoplasm', 2), ('develop', 2), ('wall', 2), ('tetrad', 2), ('portion', 1), ('invari', 1)]]","[[('spore', 4), ('cell', 3), ('mean', 2), ('origin', 2), ('protoplasm', 2), ('develop', 2), ('wall', 2), ('tetrad', 2), ('portion', 1), ('invari', 1), ('one', 1), ('process', 1), ('format', 1)]]","[[('spore', 4), ('cell', 3), ('mean', 2), ('origin', 2), ('protoplasm', 2), ('develop', 2), ('wall', 2), ('tetrad', 2), ('portion', 1), ('invari', 1), ('one', 1), ('process', 1), ('format', 1)]]","[[('spore', 4), ('cell', 3), ('mean', 2), ('origin', 2), ('protoplasm', 2), ('develop', 2), ('wall', 2), ('tetrad', 2), ('portion', 1), ('invari', 1), ('one', 1), ('process', 1), ('format', 1)]]",0,,1,"[[('spore', 4)]]",3,"[[('spore', 4), ('cell', 3), ('mean', 2)]]",3,"[[('spore', 4), ('cell', 3), ('mean', 2)]]"
52,1894,NA,,,,,,,,,,,,,,,
53,1895,NA,,,,,,,,,,,,,,,
54,1896,NA,,,,,,,,,,,,,,,
55,1897,NA,,,,,,,,,,,,,,,
56,1898,NA,1,20,14,"[[('success', 3), ('respons', 2), ('represent', 2), ('compon', 2), ('valu', 2), ('electr', 1), ('electromot', 1), ('faith', 1), ('aggreg', 1), ('rapid', 1)]]","[[('success', 3), ('respons', 2), ('represent', 2), ('compon', 2), ('valu', 2), ('electr', 1), ('electromot', 1), ('faith', 1), ('aggreg', 1), ('rapid', 1), ('member', 1), ('singl', 1), ('stimulus', 1), ('nerv', 1)]]","[[('success', 3), ('respons', 2), ('represent', 2), ('compon', 2), ('valu', 2), ('electr', 1), ('electromot', 1), ('faith', 1), ('aggreg', 1), ('rapid', 1), ('member', 1), ('singl', 1), ('stimulus', 1), ('nerv', 1)]]","[[('success', 3), ('respons', 2), ('represent', 2), ('compon', 2), ('valu', 2), ('electr', 1), ('electromot', 1), ('faith', 1), ('aggreg', 1), ('rapid', 1), ('member', 1), ('singl', 1), ('stimulus', 1), ('nerv', 1)]]",0,,1,"[[('success', 3)]]",3,"[[('success', 3), ('respons', 2), ('represent', 2)]]",4,"[[('success', 3), ('respons', 2), ('represent', 2), ('compon', 2)]]"
57,1899,NA,,,,,,,,,,,,,,,
58,1900,NA,,,,,,,,,,,,,,,
59,1901,NA,,,,,,,,,,,,,,,
60,1902,NA,,,,,,,,,,,,,,,
61,1903,NA,,,,,,,,,,,,,,,
62,1904,NA,,,,,,,,,,,,,,,
63,1905,NA,,,,,,,,,,,,,,,
64,1906,NA,,,,,,,,,,,,,,,
65,1907,NA,,,,,,,,,,,,,,,
66,1908,NA,,,,,,,,,,,,,,,
67,1909,NA,,,,,,,,,,,,,,,
68,1910,NA,,,,,,,,,,,,,,,
69,1911,NA,,,,,,,,,,,,,,,
70,1912,NA,1,21,15,"[[('consider', 3), ('serious', 2), ('forecast', 2), ('cyclon', 2), ('quadrant', 2), ('distribut', 1), ('northeast', 1), ('front', 1), ('depress', 1), ('patchi', 1)]]","[[('consider', 3), ('serious', 2), ('forecast', 2), ('cyclon', 2), ('quadrant', 2), ('distribut', 1), ('northeast', 1), ('front', 1), ('depress', 1), ('patchi', 1), ('band', 1), ('precipit', 1), ('place', 1), ('discuss', 1), ('problem', 1)]]","[[('consider', 3), ('serious', 2), ('forecast', 2), ('cyclon', 2), ('quadrant', 2), ('distribut', 1), ('northeast', 1), ('front', 1), ('depress', 1), ('patchi', 1), ('band', 1), ('precipit', 1), ('place', 1), ('discuss', 1), ('problem', 1)]]","[[('consider', 3), ('serious', 2), ('forecast', 2), ('cyclon', 2), ('quadrant', 2), ('distribut', 1), ('northeast', 1), ('front', 1), ('depress', 1), ('patchi', 1), ('band', 1), ('precipit', 1), ('place', 1), ('discuss', 1), ('problem', 1)]]",0,,2,"[[('consider', 3), ('serious', 2)]]",3,"[[('consider', 3), ('serious', 2), ('forecast', 2)]]",4,"[[('consider', 3), ('serious', 2), ('forecast', 2), ('cyclon', 2)]]"
71,1913,NA,,,,,,,,,,,,,,,
72,1914,NA,,,,,,,,,,,,,,,
73,1915,NA,,,,,,,,,,,,,,,
74,1916,NA,1,21,13,"[[('accessori', 4), ('inflamm', 3), ('state', 2), ('medic', 2), ('sinus', 2), ('common', 1), ('head', 1), ('system', 1), ('articl', 1), ('relat', 1)]]","[[('accessori', 4), ('inflamm', 3), ('state', 2), ('medic', 2), ('sinus', 2), ('common', 1), ('head', 1), ('system', 1), ('articl', 1), ('relat', 1), ('alli', 1), ('autotox', 1), ('societi', 1)]]","[[('accessori', 4), ('inflamm', 3), ('state', 2), ('medic', 2), ('sinus', 2), ('common', 1), ('head', 1), ('system', 1), ('articl', 1), ('relat', 1), ('alli', 1), ('autotox', 1), ('societi', 1)]]","[[('accessori', 4), ('inflamm', 3), ('state', 2), ('medic', 2), ('sinus', 2), ('common', 1), ('head', 1), ('system', 1), ('articl', 1), ('relat', 1), ('alli', 1), ('autotox', 1), ('societi', 1)]]",0,,1,"[[('accessori', 4)]]",3,"[[('accessori', 4), ('inflamm', 3), ('state', 2)]]",3,"[[('accessori', 4), ('inflamm', 3), ('state', 2)]]"
75,1917,NA,,,,,,,,,,,,,,,
76,1918,NA,,,,,,,,,,,,,,,
77,1919,NA,,,,,,,,,,,,,,,
78,1920,NA,2,42,20,"[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3), ('differ', 3), ('part', 2), ('basic', 2), ('flagella', 2), ('acid', 2), ('depress', 2)]]","[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3), ('differ', 3), ('part', 2), ('basic', 2), ('flagella', 2), ('acid', 2), ('depress', 2), ('sign', 2), ('ion', 2), ('alcohol', 1), ('bacteria', 1), ('motil', 1), ('mordant', 1), ('fuchsin', 1), ('charg', 1), ('physic', 1), ('properti', 1)]]","[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3), ('differ', 3), ('part', 2), ('basic', 2), ('flagella', 2), ('acid', 2), ('depress', 2), ('sign', 2), ('ion', 2), ('alcohol', 1), ('bacteria', 1), ('motil', 1), ('mordant', 1), ('fuchsin', 1), ('charg', 1), ('physic', 1), ('properti', 1)]]","[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3), ('differ', 3), ('part', 2), ('basic', 2), ('flagella', 2), ('acid', 2), ('depress', 2), ('sign', 2), ('ion', 2), ('alcohol', 1), ('bacteria', 1), ('motil', 1), ('mordant', 1), ('fuchsin', 1), ('charg', 1), ('physic', 1), ('properti', 1)]]",0,,2,"[[('solut', 6), ('effect', 5)]]",4,"[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3)]]",5,"[[('solut', 6), ('effect', 5), ('tannic', 3), ('gelatin', 3), ('differ', 3)]]"
79,1921,NA,,,,,,,,,,,,,,,
80,1922,NA,1,21,12,"[[('tension', 4), ('surfac', 3), ('method', 2), ('certain', 2), ('tube', 2), ('bothpureand', 2), ('measur', 1), ('air', 1), ('bacteriolog', 1), ('result', 1)]]","[[('tension', 4), ('surfac', 3), ('method', 2), ('certain', 2), ('tube', 2), ('bothpureand', 2), ('measur', 1), ('air', 1), ('bacteriolog', 1), ('result', 1), ('biolog', 1), ('capillari', 1)]]","[[('tension', 4), ('surfac', 3), ('method', 2), ('certain', 2), ('tube', 2), ('bothpureand', 2), ('measur', 1), ('air', 1), ('bacteriolog', 1), ('result', 1), ('biolog', 1), ('capillari', 1)]]","[[('tension', 4), ('surfac', 3), ('method', 2), ('certain', 2), ('tube', 2), ('bothpureand', 2), ('measur', 1), ('air', 1), ('bacteriolog', 1), ('result', 1), ('biolog', 1), ('capillari', 1)]]",0,,1,"[[('tension', 4)]]",2,"[[('tension', 4), ('surfac', 3)]]",3,"[[('tension', 4), ('surfac', 3), ('method', 2)]]"
81,1923,NA,1,23,7,"[[('various', 5), ('irregular', 5), ('filament', 5), ('form', 3), ('swell', 3), ('long', 1), ('spinal', 1)]]","[[('various', 5), ('irregular', 5), ('filament', 5), ('form', 3), ('swell', 3), ('long', 1), ('spinal', 1)]]","[[('various', 5), ('irregular', 5), ('filament', 5), ('form', 3), ('swell', 3), ('long', 1), ('spinal', 1)]]","[[('various', 5), ('irregular', 5), ('filament', 5), ('form', 3), ('swell', 3), ('long', 1), ('spinal', 1)]]",0,,1,"[[('various', 5)]]",1,"[[('various', 5)]]",2,"[[('various', 5), ('irregular', 5)]]"
82,1924,NA,1,25,9,"[[('solut', 6), ('sugar', 5), ('various', 5), ('substitut', 3), ('isoton', 2), ('high', 1), ('frequenc', 1), ('suspens', 1), ('erythrocyt', 1)]]","[[('solut', 6), ('sugar', 5), ('various', 5), ('substitut', 3), ('isoton', 2), ('high', 1), ('frequenc', 1), ('suspens', 1), ('erythrocyt', 1)]]","[[('solut', 6), ('sugar', 5), ('various', 5), ('substitut', 3), ('isoton', 2), ('high', 1), ('frequenc', 1), ('suspens', 1), ('erythrocyt', 1)]]","[[('solut', 6), ('sugar', 5), ('various', 5), ('substitut', 3), ('isoton', 2), ('high', 1), ('frequenc', 1), ('suspens', 1), ('erythrocyt', 1)]]",0,,1,"[[('solut', 6)]]",2,"[[('solut', 6), ('sugar', 5)]]",2,"[[('solut', 6), ('sugar', 5)]]"
83,1925,NA,2,42,20,"[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3), ('violet', 3), ('quartz', 2), ('radiochem', 2), ('chang', 2), ('illumin', 2), ('blue', 2)]]","[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3), ('violet', 3), ('quartz', 2), ('radiochem', 2), ('chang', 2), ('illumin', 2), ('blue', 2), ('light', 2), ('condit', 2), ('ray', 2), ('molecular', 1), ('effect', 1), ('amylas', 1), ('solut', 1), ('due', 1), ('influenc', 1), ('u', 1)]]","[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3), ('violet', 3), ('quartz', 2), ('radiochem', 2), ('chang', 2), ('illumin', 2), ('blue', 2), ('light', 2), ('condit', 2), ('ray', 2), ('molecular', 1), ('effect', 1), ('amylas', 1), ('solut', 1), ('due', 1), ('influenc', 1), ('u', 1)]]","[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3), ('violet', 3), ('quartz', 2), ('radiochem', 2), ('chang', 2), ('illumin', 2), ('blue', 2), ('light', 2), ('condit', 2), ('ray', 2), ('molecular', 1), ('effect', 1), ('amylas', 1), ('solut', 1), ('due', 1), ('influenc', 1), ('u', 1)]]",0,,2,"[[('arc', 6), ('mercuri', 4)]]",4,"[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3)]]",5,"[[('arc', 6), ('mercuri', 4), ('radiat', 3), ('carbon', 3), ('violet', 3)]]"
84,1926,NA,4,84,47,"[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3), ('ordinari', 3)]]","[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3), ('ordinari', 3), ('oil', 3), ('process', 2), ('method', 2), ('tellurit', 2), ('toxicolog', 2), ('pubic', 2), ('virgin', 2), ('earli', 2), ('post', 2), ('relax', 2), ('castor', 2), ('bacteria', 2), ('disinfect', 1), ('agent', 1), ('bacteri', 1), ('popul', 1), ('time', 1), ('curv', 1), ('extens', 1), ('literatur', 1), ('comment', 1), ('detail', 1), ('administr', 1), ('deposit', 1), ('metal', 1), ('matter', 1), ('interest', 1), ('ligament', 1), ('oestrum', 1), ('notic', 1), ('surfac', 1), ('broth', 1), ('action', 1), ('seal', 1), ('factor', 1), ('growth', 1), ('addit', 1)]]","[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3), ('ordinari', 3), ('oil', 3), ('process', 2), ('method', 2), ('tellurit', 2), ('toxicolog', 2), ('pubic', 2), ('virgin', 2), ('earli', 2), ('post', 2), ('relax', 2), ('castor', 2), ('bacteria', 2), ('disinfect', 1), ('agent', 1), ('bacteri', 1), ('popul', 1), ('time', 1), ('curv', 1), ('extens', 1), ('literatur', 1), ('comment', 1), ('detail', 1), ('administr', 1), ('deposit', 1), ('metal', 1), ('matter', 1), ('interest', 1), ('ligament', 1), ('oestrum', 1), ('notic', 1), ('surfac', 1), ('broth', 1), ('action', 1), ('seal', 1), ('factor', 1), ('growth', 1), ('addit', 1)]]","[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3), ('ordinari', 3), ('oil', 3), ('process', 2), ('method', 2), ('tellurit', 2), ('toxicolog', 2), ('pubic', 2), ('virgin', 2), ('earli', 2), ('post', 2), ('relax', 2), ('castor', 2), ('bacteria', 2), ('disinfect', 1), ('agent', 1), ('bacteri', 1), ('popul', 1), ('time', 1), ('curv', 1), ('extens', 1), ('literatur', 1), ('comment', 1), ('detail', 1), ('administr', 1), ('deposit', 1), ('metal', 1), ('matter', 1), ('interest', 1), ('ligament', 1), ('oestrum', 1), ('notic', 1), ('surfac', 1), ('broth', 1), ('action', 1), ('seal', 1), ('factor', 1), ('growth', 1), ('addit', 1)]]",0,,5,"[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3)]]",9,"[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3)]]",12,"[[('toxic', 4), ('dose', 4), ('guinea', 4), ('pig', 4), ('various', 3), ('quantit', 3), ('effect', 3), ('tellurium', 3), ('tension', 3), ('ordinari', 3), ('oil', 3), ('process', 2)]]"
85,1927,NA,3,70,32,"[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3), ('sugar', 3), ('cell', 3), ('favor', 3), ('vacuol', 3)]]","[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3), ('sugar', 3), ('cell', 3), ('favor', 3), ('vacuol', 3), ('blister', 3), ('fine', 2), ('format', 2), ('media', 2), ('explos', 2), ('region', 2), ('entir', 2), ('perident', 1), ('membran', 1), ('fibr', 1), ('growth', 1), ('solut', 1), ('accessori', 1), ('intern', 1), ('protoplasm', 1), ('mechan', 1), ('type', 1), ('surfac', 1), ('gelat', 1), ('plasmalemma', 1), ('high', 1), ('percentag', 1)]]","[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3), ('sugar', 3), ('cell', 3), ('favor', 3), ('vacuol', 3), ('blister', 3), ('fine', 2), ('format', 2), ('media', 2), ('explos', 2), ('region', 2), ('entir', 2), ('perident', 1), ('membran', 1), ('fibr', 1), ('growth', 1), ('solut', 1), ('accessori', 1), ('intern', 1), ('protoplasm', 1), ('mechan', 1), ('type', 1), ('surfac', 1), ('gelat', 1), ('plasmalemma', 1), ('high', 1), ('percentag', 1)]]","[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3), ('sugar', 3), ('cell', 3), ('favor', 3), ('vacuol', 3), ('blister', 3), ('fine', 2), ('format', 2), ('media', 2), ('explos', 2), ('region', 2), ('entir', 2), ('perident', 1), ('membran', 1), ('fibr', 1), ('growth', 1), ('solut', 1), ('accessori', 1), ('intern', 1), ('protoplasm', 1), ('mechan', 1), ('type', 1), ('surfac', 1), ('gelat', 1), ('plasmalemma', 1), ('high', 1), ('percentag', 1)]]",0,,3,"[[('elast', 6), ('element', 6), ('occasion', 5)]]",6,"[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3)]]",8,"[[('elast', 6), ('element', 6), ('occasion', 5), ('dioxid', 4), ('carbon', 4), ('specimen', 3), ('sugar', 3), ('cell', 3)]]"
86,1928,NA,2,40,24,"[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2), ('death', 2), ('penetr', 2), ('layer', 2), ('phase', 2), ('effect', 1)]]","[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2), ('death', 2), ('penetr', 2), ('layer', 2), ('phase', 2), ('effect', 1), ('interest', 1), ('canning', 1), ('complet', 1), ('destruct', 1), ('wash', 1), ('bacteria', 1), ('fruit', 1), ('degre', 1), ('solut', 1), ('live', 1), ('sap', 1), ('vacuol', 1), ('boundari', 1), ('diffus', 1)]]","[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2), ('death', 2), ('penetr', 2), ('layer', 2), ('phase', 2), ('effect', 1), ('interest', 1), ('canning', 1), ('complet', 1), ('destruct', 1), ('wash', 1), ('bacteria', 1), ('fruit', 1), ('degre', 1), ('solut', 1), ('live', 1), ('sap', 1), ('vacuol', 1), ('boundari', 1), ('diffus', 1)]]","[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2), ('death', 2), ('penetr', 2), ('layer', 2), ('phase', 2), ('effect', 1), ('interest', 1), ('canning', 1), ('complet', 1), ('destruct', 1), ('wash', 1), ('bacteria', 1), ('fruit', 1), ('degre', 1), ('solut', 1), ('live', 1), ('sap', 1), ('vacuol', 1), ('boundari', 1), ('diffus', 1)]]",0,,2,"[[('alkalin', 5), ('dye', 4)]]",5,"[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2)]]",6,"[[('alkalin', 5), ('dye', 4), ('rate', 3), ('aqueous', 3), ('steril', 2), ('death', 2)]]"
87,1929,NA,,,,,,,,,,,,,,,
