,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
101,1931,NA,1.0,20.0,13.0,"[[('particl', 3), ('radioact', 3), ('time', 2), ('pothol', 2), ('substanc', 2), ('highway', 1), ('emiss', 1), ('locat', 1), ('probabl', 1), ('densiti', 1)]]","[[('particl', 3), ('radioact', 3), ('time', 2), ('pothol', 2), ('substanc', 2), ('highway', 1), ('emiss', 1), ('locat', 1), ('probabl', 1), ('densiti', 1), ('occurr', 1), ('averag', 1), ('rate', 1)]]","[[('particl', 3), ('radioact', 3), ('time', 2), ('pothol', 2), ('substanc', 2), ('highway', 1), ('emiss', 1), ('locat', 1), ('probabl', 1), ('densiti', 1), ('occurr', 1), ('averag', 1), ('rate', 1)]]","[[('particl', 3), ('radioact', 3), ('time', 2), ('pothol', 2), ('substanc', 2), ('highway', 1), ('emiss', 1), ('locat', 1), ('probabl', 1), ('densiti', 1), ('occurr', 1), ('averag', 1), ('rate', 1)]]",0.0,,1.0,"[[('particl', 3)]]",3.0,"[[('particl', 3), ('radioact', 3), ('time', 2)]]",3.0,"[[('particl', 3), ('radioact', 3), ('time', 2)]]"
102,1932,NA,,,,,,,,,,,,,,,
103,1933,NA,2.0,40.0,22.0,"[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3), ('number', 3), ('singl', 2), ('rate', 2), ('data', 2), ('tube', 2), ('organ', 2)]]","[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3), ('number', 3), ('singl', 2), ('rate', 2), ('data', 2), ('tube', 2), ('organ', 2), ('method', 2), ('phase', 1), ('growth', 1), ('bacteri', 1), ('count', 1), ('long', 1), ('averag', 1), ('milk', 1), ('period', 1), ('mathemat', 1), ('brief', 1), ('review', 1)]]","[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3), ('number', 3), ('singl', 2), ('rate', 2), ('data', 2), ('tube', 2), ('organ', 2), ('method', 2), ('phase', 1), ('growth', 1), ('bacteri', 1), ('count', 1), ('long', 1), ('averag', 1), ('milk', 1), ('period', 1), ('mathemat', 1), ('brief', 1), ('review', 1)]]","[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3), ('number', 3), ('singl', 2), ('rate', 2), ('data', 2), ('tube', 2), ('organ', 2), ('method', 2), ('phase', 1), ('growth', 1), ('bacteri', 1), ('count', 1), ('long', 1), ('averag', 1), ('milk', 1), ('period', 1), ('mathemat', 1), ('brief', 1), ('review', 1)]]",0.0,,2.0,"[[('dilut', 5), ('figur', 3)]]",4.0,"[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3)]]",6.0,"[[('dilut', 5), ('figur', 3), ('seri', 3), ('treatment', 3), ('number', 3), ('singl', 2)]]"
104,1934,NA,,,,,,,,,,,,,,,
105,1935,NA,1.0,20.0,11.0,"[[('wool', 5), ('measur', 4), ('fibr', 2), ('larg', 2), ('width', 1), ('util', 1), ('contour', 1), ('number', 1), ('effort', 1), ('part', 1)]]","[[('wool', 5), ('measur', 4), ('fibr', 2), ('larg', 2), ('width', 1), ('util', 1), ('contour', 1), ('number', 1), ('effort', 1), ('part', 1), ('inform', 1)]]","[[('wool', 5), ('measur', 4), ('fibr', 2), ('larg', 2), ('width', 1), ('util', 1), ('contour', 1), ('number', 1), ('effort', 1), ('part', 1), ('inform', 1)]]","[[('wool', 5), ('measur', 4), ('fibr', 2), ('larg', 2), ('width', 1), ('util', 1), ('contour', 1), ('number', 1), ('effort', 1), ('part', 1), ('inform', 1)]]",0.0,,1.0,"[[('wool', 5)]]",2.0,"[[('wool', 5), ('measur', 4)]]",3.0,"[[('wool', 5), ('measur', 4), ('fibr', 2)]]"
106,1936,NA,1.0,20.0,13.0,"[[('market', 4), ('aspect', 2), ('test', 2), ('public', 2), ('specif', 2), ('research', 1), ('studi', 1), ('consum', 1), ('industri', 1), ('citi', 1)]]","[[('market', 4), ('aspect', 2), ('test', 2), ('public', 2), ('specif', 2), ('research', 1), ('studi', 1), ('consum', 1), ('industri', 1), ('citi', 1), ('trade', 1), ('psycholog', 1), ('best', 1)]]","[[('market', 4), ('aspect', 2), ('test', 2), ('public', 2), ('specif', 2), ('research', 1), ('studi', 1), ('consum', 1), ('industri', 1), ('citi', 1), ('trade', 1), ('psycholog', 1), ('best', 1)]]","[[('market', 4), ('aspect', 2), ('test', 2), ('public', 2), ('specif', 2), ('research', 1), ('studi', 1), ('consum', 1), ('industri', 1), ('citi', 1), ('trade', 1), ('psycholog', 1), ('best', 1)]]",0.0,,1.0,"[[('market', 4)]]",3.0,"[[('market', 4), ('aspect', 2), ('test', 2)]]",3.0,"[[('market', 4), ('aspect', 2), ('test', 2)]]"
107,1937,NA,,,,,,,,,,,,,,,
108,1938,NA,2.0,29.0,20.0,"[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2), ('total', 2), ('estim', 2), ('contribut', 1), ('theori', 1), ('solut', 1), ('time', 1)]]","[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2), ('total', 2), ('estim', 2), ('contribut', 1), ('theori', 1), ('solut', 1), ('time', 1), ('purpos', 1), ('paper', 1), ('general', 1), ('interest', 1), ('volum', 1), ('recent', 1), ('practic', 1), ('discuss', 1), ('consumpt', 1), ('direct', 1)]]","[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2), ('total', 2), ('estim', 2), ('contribut', 1), ('theori', 1), ('solut', 1), ('time', 1), ('purpos', 1), ('paper', 1), ('general', 1), ('interest', 1), ('volum', 1), ('recent', 1), ('practic', 1), ('discuss', 1), ('consumpt', 1), ('direct', 1)]]","[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2), ('total', 2), ('estim', 2), ('contribut', 1), ('theori', 1), ('solut', 1), ('time', 1), ('purpos', 1), ('paper', 1), ('general', 1), ('interest', 1), ('volum', 1), ('recent', 1), ('practic', 1), ('discuss', 1), ('consumpt', 1), ('direct', 1)]]",0.0,,2.0,"[[('loan', 3), ('commerci', 3)]]",4.0,"[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2)]]",5.0,"[[('loan', 3), ('commerci', 3), ('bank', 3), ('consum', 2), ('total', 2)]]"
109,1939,NA,1.0,20.0,12.0,"[[('various', 3), ('altern', 3), ('sampl', 3), ('method', 2), ('precis', 2), ('analysi', 1), ('varianc', 1), ('relat', 1), ('field', 1), ('respect', 1)]]","[[('various', 3), ('altern', 3), ('sampl', 3), ('method', 2), ('precis', 2), ('analysi', 1), ('varianc', 1), ('relat', 1), ('field', 1), ('respect', 1), ('type', 1), ('futur', 1)]]","[[('various', 3), ('altern', 3), ('sampl', 3), ('method', 2), ('precis', 2), ('analysi', 1), ('varianc', 1), ('relat', 1), ('field', 1), ('respect', 1), ('type', 1), ('futur', 1)]]","[[('various', 3), ('altern', 3), ('sampl', 3), ('method', 2), ('precis', 2), ('analysi', 1), ('varianc', 1), ('relat', 1), ('field', 1), ('respect', 1), ('type', 1), ('futur', 1)]]",0.0,,1.0,"[[('various', 3)]]",2.0,"[[('various', 3), ('altern', 3)]]",3.0,"[[('various', 3), ('altern', 3), ('sampl', 3)]]"
110,1940,NA,2.0,44.0,23.0,"[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3), ('total', 3), ('report', 3), ('count', 2), ('compar', 2), ('relat', 2)]]","[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3), ('total', 3), ('report', 3), ('count', 2), ('compar', 2), ('relat', 2), ('revis', 2), ('recent', 2), ('mani', 1), ('constant', 1), ('purpos', 1), ('classif', 1), ('compet', 1), ('archaeologist', 1), ('classificatori', 1), ('infer', 1), ('minor', 1), ('certain', 1), ('point', 1)]]","[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3), ('total', 3), ('report', 3), ('count', 2), ('compar', 2), ('relat', 2), ('revis', 2), ('recent', 2), ('mani', 1), ('constant', 1), ('purpos', 1), ('classif', 1), ('compet', 1), ('archaeologist', 1), ('classificatori', 1), ('infer', 1), ('minor', 1), ('certain', 1), ('point', 1)]]","[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3), ('total', 3), ('report', 3), ('count', 2), ('compar', 2), ('relat', 2), ('revis', 2), ('recent', 2), ('mani', 1), ('constant', 1), ('purpos', 1), ('classif', 1), ('compet', 1), ('archaeologist', 1), ('classificatori', 1), ('infer', 1), ('minor', 1), ('certain', 1), ('point', 1)]]",0.0,,2.0,"[[('midwestern', 4), ('archaeolog', 4)]]",5.0,"[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3)]]",6.0,"[[('midwestern', 4), ('archaeolog', 4), ('plate', 3), ('mean', 3), ('error', 3), ('total', 3)]]"
