,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
47,1879,"['extern', 'disturb', 'bodili', 'tide', 'consider', 'applic', 'specul', 'consider', 'tide', 'disturb', 'bodi', 'spheroid', 'tide', 'spheroid', 'attract', 'extern', 'disturb', 'extern', 'disturb', 'bodi']",1.0,20.0,10.0,"[[('disturb', 4), ('extern', 3), ('tide', 3), ('consider', 2), ('bodi', 2), ('spheroid', 2), ('bodili', 1), ('applic', 1), ('specul', 1), ('attract', 1)]]","[[('disturb', 4), ('extern', 3), ('tide', 3), ('consider', 2), ('bodi', 2), ('spheroid', 2), ('bodili', 1), ('applic', 1), ('specul', 1), ('attract', 1)]]","[[('disturb', 4), ('extern', 3), ('tide', 3), ('consider', 2), ('bodi', 2), ('spheroid', 2), ('bodili', 1), ('applic', 1), ('specul', 1), ('attract', 1)]]","[[('disturb', 4), ('extern', 3), ('tide', 3), ('consider', 2), ('bodi', 2), ('spheroid', 2), ('bodili', 1), ('applic', 1), ('specul', 1), ('attract', 1)]]",0.0,,1.0,"[[('disturb', 4)]]",2.0,"[[('disturb', 4), ('extern', 3)]]",2.0,"[[('disturb', 4), ('extern', 3)]]"
48,1880,,,,,,,,,,,,,,,,
49,1881,,,,,,,,,,,,,,,,
50,1882,,,,,,,,,,,,,,,,
51,1883,,,,,,,,,,,,,,,,
52,1884,"['high', 'pressur', 'high', 'pressur', 'steam', 'pressur', 'steam', 'volum', 'high', 'volum', 'high', 'pressur', 'volcan', 'erupt', 'expans', 'volum', 'part', 'volcan', 'import', 'part', 'part', 'volcan', 'erupt']",1.0,23.0,9.0,"[[('high', 4), ('pressur', 4), ('volum', 3), ('volcan', 3), ('part', 3), ('steam', 2), ('erupt', 2), ('expans', 1), ('import', 1)]]","[[('high', 4), ('pressur', 4), ('volum', 3), ('volcan', 3), ('part', 3), ('steam', 2), ('erupt', 2), ('expans', 1), ('import', 1)]]","[[('high', 4), ('pressur', 4), ('volum', 3), ('volcan', 3), ('part', 3), ('steam', 2), ('erupt', 2), ('expans', 1), ('import', 1)]]","[[('high', 4), ('pressur', 4), ('volum', 3), ('volcan', 3), ('part', 3), ('steam', 2), ('erupt', 2), ('expans', 1), ('import', 1)]]",0.0,,1.0,"[[('high', 4)]]",2.0,"[[('high', 4), ('pressur', 4)]]",2.0,"[[('high', 4), ('pressur', 4)]]"
53,1885,,,,,,,,,,,,,,,,
54,1886,,,,,,,,,,,,,,,,
55,1887,,,,,,,,,,,,,,,,
56,1888,,,,,,,,,,,,,,,,
57,1889,,,,,,,,,,,,,,,,
58,1890,,,,,,,,,,,,,,,,
59,1891,,,,,,,,,,,,,,,,
60,1892,,,,,,,,,,,,,,,,
61,1893,,,,,,,,,,,,,,,,
62,1894,,,,,,,,,,,,,,,,
63,1895,,,,,,,,,,,,,,,,
64,1896,,,,,,,,,,,,,,,,
65,1897,,,,,,,,,,,,,,,,
66,1898,,,,,,,,,,,,,,,,
67,1899,,,,,,,,,,,,,,,,
68,1900,,,,,,,,,,,,,,,,
69,1901,,,,,,,,,,,,,,,,
70,1902,"['diurnal', 'inequ', 'time', 'occurr', 'note', 'relationship', 'connect', 'time', 'amplitud', 'diurnal', 'inequ', 'magnet', 'occurr', 'greatest', 'amplitud', 'diurnal', 'inequ', 'magnet', 'declin', 'largest', 'amplitud']",1.0,21.0,12.0,"[[('diurnal', 3), ('inequ', 3), ('amplitud', 3), ('time', 2), ('occurr', 2), ('magnet', 2), ('note', 1), ('relationship', 1), ('connect', 1), ('greatest', 1)]]","[[('diurnal', 3), ('inequ', 3), ('amplitud', 3), ('time', 2), ('occurr', 2), ('magnet', 2), ('note', 1), ('relationship', 1), ('connect', 1), ('greatest', 1), ('declin', 1), ('largest', 1)]]","[[('diurnal', 3), ('inequ', 3), ('amplitud', 3), ('time', 2), ('occurr', 2), ('magnet', 2), ('note', 1), ('relationship', 1), ('connect', 1), ('greatest', 1), ('declin', 1), ('largest', 1)]]","[[('diurnal', 3), ('inequ', 3), ('amplitud', 3), ('time', 2), ('occurr', 2), ('magnet', 2), ('note', 1), ('relationship', 1), ('connect', 1), ('greatest', 1), ('declin', 1), ('largest', 1)]]",0.0,,1.0,"[[('diurnal', 3)]]",2.0,"[[('diurnal', 3), ('inequ', 3)]]",3.0,"[[('diurnal', 3), ('inequ', 3), ('amplitud', 3)]]"
71,1903,,,,,,,,,,,,,,,,
72,1904,,,,,,,,,,,,,,,,
73,1905,,,,,,,,,,,,,,,,
74,1906,,,,,,,,,,,,,,,,
75,1907,,,,,,,,,,,,,,,,
76,1908,,,,,,,,,,,,,,,,
77,1909,,,,,,,,,,,,,,,,
78,1910,,,,,,,,,,,,,,,,
79,1911,,,,,,,,,,,,,,,,
80,1912,,,,,,,,,,,,,,,,
81,1913,,,,,,,,,,,,,,,,
82,1914,,,,,,,,,,,,,,,,
83,1915,,,,,,,,,,,,,,,,
84,1916,,,,,,,,,,,,,,,,
85,1917,,,,,,,,,,,,,,,,
86,1918,,,,,,,,,,,,,,,,
87,1919,,,,,,,,,,,,,,,,
88,1920,,,,,,,,,,,,,,,,
89,1921,,,,,,,,,,,,,,,,
90,1922,,,,,,,,,,,,,,,,
91,1923,,,,,,,,,,,,,,,,
92,1924,,,,,,,,,,,,,,,,
93,1925,,,,,,,,,,,,,,,,
94,1926,,,,,,,,,,,,,,,,
95,1927,,,,,,,,,,,,,,,,
96,1928,,,,,,,,,,,,,,,,
97,1929,,,,,,,,,,,,,,,,
98,1930,,,,,,,,,,,,,,,,
99,1931,,,,,,,,,,,,,,,,
100,1932,,,,,,,,,,,,,,,,
101,1933,,,,,,,,,,,,,,,,
102,1934,,,,,,,,,,,,,,,,
103,1935,,,,,,,,,,,,,,,,
104,1936,"['diurnal', 'magnet', 'diurnal', 'variat', 'magnet', 'field', 'diurnal', 'magnet', 'field', 'magnet', 'observatori', 'field', 'seri', 'magnet', 'forc', 'type', 'diurnal', 'state', 'diurnal', 'magnet', 'variat']",1.0,21.0,9.0,"[[('magnet', 6), ('diurnal', 5), ('field', 3), ('variat', 2), ('observatori', 1), ('seri', 1), ('forc', 1), ('type', 1), ('state', 1)]]","[[('magnet', 6), ('diurnal', 5), ('field', 3), ('variat', 2), ('observatori', 1), ('seri', 1), ('forc', 1), ('type', 1), ('state', 1)]]","[[('magnet', 6), ('diurnal', 5), ('field', 3), ('variat', 2), ('observatori', 1), ('seri', 1), ('forc', 1), ('type', 1), ('state', 1)]]","[[('magnet', 6), ('diurnal', 5), ('field', 3), ('variat', 2), ('observatori', 1), ('seri', 1), ('forc', 1), ('type', 1), ('state', 1)]]",0.0,,1.0,"[[('magnet', 6)]]",2.0,"[[('magnet', 6), ('diurnal', 5)]]",2.0,"[[('magnet', 6), ('diurnal', 5)]]"
105,1937,"['cosmic', 'ray', 'decreas', 'cosmic', 'ray', 'decreas', 'decreas', 'cosmic', 'ray', 'charact', 'cosmic', 'charact', 'cosmic', 'ray', 'ray', 'ionize', 'systemat', 'decreas', 'cosmic', 'ray', 'decreas', 'cosmic', 'ray', 'ionize']",1.0,24.0,6.0,"[[('cosmic', 7), ('ray', 7), ('decreas', 5), ('charact', 2), ('ionize', 2), ('systemat', 1)]]","[[('cosmic', 7), ('ray', 7), ('decreas', 5), ('charact', 2), ('ionize', 2), ('systemat', 1)]]","[[('cosmic', 7), ('ray', 7), ('decreas', 5), ('charact', 2), ('ionize', 2), ('systemat', 1)]]","[[('cosmic', 7), ('ray', 7), ('decreas', 5), ('charact', 2), ('ionize', 2), ('systemat', 1)]]",0.0,,1.0,"[[('cosmic', 7)]]",1.0,"[[('cosmic', 7)]]",2.0,"[[('cosmic', 7), ('ray', 7)]]"
106,1938,,,,,,,,,,,,,,,,
107,1939,"['propag', 'radio', 'better', 'hankel', 'hankel', 'approxim', 'use', 'better', 'use', 'better', 'hankel', 'exclus', 'use', 'note', 'propag', 'propag', 'radio', 'wave', 'use', 'better', 'hankel', 'approxim', 'exclus', 'use', 'better', 'hankel']",1.0,26.0,9.0,"[[('better', 5), ('hankel', 5), ('use', 5), ('propag', 3), ('radio', 2), ('approxim', 2), ('exclus', 2), ('note', 1), ('wave', 1)]]","[[('better', 5), ('hankel', 5), ('use', 5), ('propag', 3), ('radio', 2), ('approxim', 2), ('exclus', 2), ('note', 1), ('wave', 1)]]","[[('better', 5), ('hankel', 5), ('use', 5), ('propag', 3), ('radio', 2), ('approxim', 2), ('exclus', 2), ('note', 1), ('wave', 1)]]","[[('better', 5), ('hankel', 5), ('use', 5), ('propag', 3), ('radio', 2), ('approxim', 2), ('exclus', 2), ('note', 1), ('wave', 1)]]",0.0,,1.0,"[[('better', 5)]]",2.0,"[[('better', 5), ('hankel', 5)]]",2.0,"[[('better', 5), ('hankel', 5)]]"
108,1940,,,,,,,,,,,,,,,,
109,1941,,,,,,,,,,,,,,,,
110,1942,,,,,,,,,,,,,,,,
111,1943,,,,,,,,,,,,,,,,
112,1944,,,,,,,,,,,,,,,,
113,1945,,,,,,,,,,,,,,,,
114,1946,,,,,,,,,,,,,,,,
115,1947,"['tidal', 'effect', 'effect', 'e', 'lunar', 'tidal', 'tidal', 'effect', 'e', 'f', 'ionize', 'lunar', 'tidal', 'effect', 'evid', 'exist', 'wind', 'due', 'effect', 'e', 'region', 'ionize', 'densiti', 'convect', 'pattern', 'cloud', 'roll', 'pattern', 'cloud', 'observ', 'cloud', 'natur', 'observ', 'natur', 'observ', 'cloud', 'intern', 'wave', 'cloud', 'layer', 'vertic', 'shear', 'physic', 'natur']",2.0,44.0,24.0,"[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3), ('natur', 3), ('lunar', 2), ('ionize', 2), ('pattern', 2), ('f', 1)]]","[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3), ('natur', 3), ('lunar', 2), ('ionize', 2), ('pattern', 2), ('f', 1), ('evid', 1), ('exist', 1), ('wind', 1), ('due', 1), ('region', 1), ('densiti', 1), ('convect', 1), ('roll', 1), ('intern', 1), ('wave', 1), ('layer', 1), ('vertic', 1), ('shear', 1), ('physic', 1)]]","[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3), ('natur', 3), ('lunar', 2), ('ionize', 2), ('pattern', 2), ('f', 1), ('evid', 1), ('exist', 1), ('wind', 1), ('due', 1), ('region', 1), ('densiti', 1), ('convect', 1), ('roll', 1), ('intern', 1), ('wave', 1), ('layer', 1), ('vertic', 1), ('shear', 1), ('physic', 1)]]","[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3), ('natur', 3), ('lunar', 2), ('ionize', 2), ('pattern', 2), ('f', 1), ('evid', 1), ('exist', 1), ('wind', 1), ('due', 1), ('region', 1), ('densiti', 1), ('convect', 1), ('roll', 1), ('intern', 1), ('wave', 1), ('layer', 1), ('vertic', 1), ('shear', 1), ('physic', 1)]]",0.0,,2.0,"[[('effect', 5), ('cloud', 5)]]",5.0,"[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3)]]",6.0,"[[('effect', 5), ('cloud', 5), ('tidal', 4), ('e', 3), ('observ', 3), ('natur', 3)]]"
116,1948,"['lunar', 'variat', 'drift', 'action', 'variat', 'height', 'ionic', 'drift', 'action', 'tidal', 'rise', 'ionic', 'drift', 'magnet', 'variat', 'lunar', 'variat', 'height', 'lunar', 'magnet', 'variat', 'simpl', 'tidal', 'rise', 'frequenc', 'occurr', 'variat', 'frequenc', 'diurnal', 'variat', 'field', 'chang', 'magnet', 'field', 'shell', 'extern', 'extern', 'magnet', 'diurnal', 'variat', 'frequenc', 'effect', 'distribut', 'distribut', 'field']",2.0,45.0,19.0,"[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3), ('frequenc', 3), ('field', 3), ('action', 2), ('height', 2), ('ionic', 2), ('tidal', 2)]]","[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3), ('frequenc', 3), ('field', 3), ('action', 2), ('height', 2), ('ionic', 2), ('tidal', 2), ('rise', 2), ('diurnal', 2), ('extern', 2), ('distribut', 2), ('simpl', 1), ('occurr', 1), ('chang', 1), ('shell', 1), ('effect', 1)]]","[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3), ('frequenc', 3), ('field', 3), ('action', 2), ('height', 2), ('ionic', 2), ('tidal', 2), ('rise', 2), ('diurnal', 2), ('extern', 2), ('distribut', 2), ('simpl', 1), ('occurr', 1), ('chang', 1), ('shell', 1), ('effect', 1)]]","[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3), ('frequenc', 3), ('field', 3), ('action', 2), ('height', 2), ('ionic', 2), ('tidal', 2), ('rise', 2), ('diurnal', 2), ('extern', 2), ('distribut', 2), ('simpl', 1), ('occurr', 1), ('chang', 1), ('shell', 1), ('effect', 1)]]",0.0,,2.0,"[[('variat', 8), ('magnet', 4)]]",4.0,"[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3)]]",5.0,"[[('variat', 8), ('magnet', 4), ('lunar', 3), ('drift', 3), ('frequenc', 3)]]"
117,1949,"['vertic', 'deriv', 'second', 'vertic', 'deriv', 'magnet', 'map', 'second', 'magnet', 'field', 'deriv', 'magnet', 'field', 'second', 'vertic', 'deriv', 'second', 'vertic', 'deriv', 'vertic', 'deriv', 'magnet', 'vertic', 'deriv', 'magnet', 'field', 'magnet', 'effect', 'dipol', 'field', 'intern', 'motion', 'liquid', 'sphere', 'gradient', 'angular', 'sphere', 'rigid', 'effect', 'intern', 'sphere', 'rigid', 'shell', 'radial', 'gradient', 'angular', 'veloc']",2.0,47.0,18.0,"[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4), ('field', 4), ('sphere', 3), ('effect', 2), ('intern', 2), ('gradient', 2), ('angular', 2)]]","[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4), ('field', 4), ('sphere', 3), ('effect', 2), ('intern', 2), ('gradient', 2), ('angular', 2), ('rigid', 2), ('map', 1), ('dipol', 1), ('motion', 1), ('liquid', 1), ('shell', 1), ('radial', 1), ('veloc', 1)]]","[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4), ('field', 4), ('sphere', 3), ('effect', 2), ('intern', 2), ('gradient', 2), ('angular', 2), ('rigid', 2), ('map', 1), ('dipol', 1), ('motion', 1), ('liquid', 1), ('shell', 1), ('radial', 1), ('veloc', 1)]]","[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4), ('field', 4), ('sphere', 3), ('effect', 2), ('intern', 2), ('gradient', 2), ('angular', 2), ('rigid', 2), ('map', 1), ('dipol', 1), ('motion', 1), ('liquid', 1), ('shell', 1), ('radial', 1), ('veloc', 1)]]",0.0,,2.0,"[[('deriv', 7), ('vertic', 6)]]",4.0,"[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4)]]",4.0,"[[('deriv', 7), ('vertic', 6), ('magnet', 6), ('second', 4)]]"
118,1950,,,,,,,,,,,,,,,,
119,1951,"['secular', 'variat', 'vertic', 'conduct', 'core', 'current', 'sheet', 'electr', 'conduct', 'separ', 'dipol', 'vertic', 'sourc', 'vertic', 'sourc', 'properti', 'secular', 'thin', 'current']",1.0,19.0,13.0,"[[('vertic', 3), ('secular', 2), ('conduct', 2), ('current', 2), ('sourc', 2), ('variat', 1), ('core', 1), ('sheet', 1), ('electr', 1), ('separ', 1)]]","[[('vertic', 3), ('secular', 2), ('conduct', 2), ('current', 2), ('sourc', 2), ('variat', 1), ('core', 1), ('sheet', 1), ('electr', 1), ('separ', 1), ('dipol', 1), ('properti', 1), ('thin', 1)]]","[[('vertic', 3), ('secular', 2), ('conduct', 2), ('current', 2), ('sourc', 2), ('variat', 1), ('core', 1), ('sheet', 1), ('electr', 1), ('separ', 1), ('dipol', 1), ('properti', 1), ('thin', 1)]]","[[('vertic', 3), ('secular', 2), ('conduct', 2), ('current', 2), ('sourc', 2), ('variat', 1), ('core', 1), ('sheet', 1), ('electr', 1), ('separ', 1), ('dipol', 1), ('properti', 1), ('thin', 1)]]",0.0,,1.0,"[[('vertic', 3)]]",3.0,"[[('vertic', 3), ('secular', 2), ('conduct', 2)]]",3.0,"[[('vertic', 3), ('secular', 2), ('conduct', 2)]]"
120,1952,,,,,,,,,,,,,,,,
121,1953,"['wave', 'incid', 'appropri', 'rang', 'spectrum', 'plane', 'rang', 'angl', 'incid', 'arbitrari', 'certain', 'rang', 'angl', 'incid', 'complex', 'within', 'certain', 'media', 'theoret', 'solut', 'appropri']",1.0,21.0,14.0,"[[('incid', 3), ('rang', 3), ('appropri', 2), ('angl', 2), ('certain', 2), ('wave', 1), ('spectrum', 1), ('plane', 1), ('arbitrari', 1), ('complex', 1)]]","[[('incid', 3), ('rang', 3), ('appropri', 2), ('angl', 2), ('certain', 2), ('wave', 1), ('spectrum', 1), ('plane', 1), ('arbitrari', 1), ('complex', 1), ('within', 1), ('media', 1), ('theoret', 1), ('solut', 1)]]","[[('incid', 3), ('rang', 3), ('appropri', 2), ('angl', 2), ('certain', 2), ('wave', 1), ('spectrum', 1), ('plane', 1), ('arbitrari', 1), ('complex', 1), ('within', 1), ('media', 1), ('theoret', 1), ('solut', 1)]]","[[('incid', 3), ('rang', 3), ('appropri', 2), ('angl', 2), ('certain', 2), ('wave', 1), ('spectrum', 1), ('plane', 1), ('arbitrari', 1), ('complex', 1), ('within', 1), ('media', 1), ('theoret', 1), ('solut', 1)]]",0.0,,1.0,"[[('incid', 3)]]",3.0,"[[('incid', 3), ('rang', 3), ('appropri', 2)]]",4.0,"[[('incid', 3), ('rang', 3), ('appropri', 2), ('angl', 2)]]"
122,1954,"['surfac', 'shear', 'shear', 'stress', 'elast', 'theori', 'stress', 'type', 'excit', 'condit', 'surfac', 'shear', 'stress', 'combin', 'surfac', 'problem', 'isotrop', 'present', 'solut', 'probabl', 'util', 'xenolith', 'basalt', 'basalt', 'volcan', 'volum', 'sea', 'total', 'volum', 'peridotit', 'xenolith', 'volcan', 'rock', 'basalt', 'volcan', 'rock', 'reaction', 'crust', 'level', 'ocean', 'xenolith', 'basalt', 'volcan']",2.0,43.0,27.0,"[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3), ('xenolith', 3), ('volum', 2), ('rock', 2), ('elast', 1), ('theori', 1)]]","[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3), ('xenolith', 3), ('volum', 2), ('rock', 2), ('elast', 1), ('theori', 1), ('type', 1), ('excit', 1), ('condit', 1), ('combin', 1), ('problem', 1), ('isotrop', 1), ('present', 1), ('solut', 1), ('probabl', 1), ('util', 1), ('sea', 1), ('total', 1), ('peridotit', 1), ('reaction', 1), ('crust', 1), ('level', 1), ('ocean', 1)]]","[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3), ('xenolith', 3), ('volum', 2), ('rock', 2), ('elast', 1), ('theori', 1), ('type', 1), ('excit', 1), ('condit', 1), ('combin', 1), ('problem', 1), ('isotrop', 1), ('present', 1), ('solut', 1), ('probabl', 1), ('util', 1), ('sea', 1), ('total', 1), ('peridotit', 1), ('reaction', 1), ('crust', 1), ('level', 1), ('ocean', 1)]]","[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3), ('xenolith', 3), ('volum', 2), ('rock', 2), ('elast', 1), ('theori', 1), ('type', 1), ('excit', 1), ('condit', 1), ('combin', 1), ('problem', 1), ('isotrop', 1), ('present', 1), ('solut', 1), ('probabl', 1), ('util', 1), ('sea', 1), ('total', 1), ('peridotit', 1), ('reaction', 1), ('crust', 1), ('level', 1), ('ocean', 1)]]",0.0,,3.0,"[[('basalt', 4), ('volcan', 4), ('surfac', 3)]]",5.0,"[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3)]]",7.0,"[[('basalt', 4), ('volcan', 4), ('surfac', 3), ('shear', 3), ('stress', 3), ('xenolith', 3), ('volum', 2)]]"
123,1955,"['rock', 'magnet', 'magnet', 'properti', 'fundament', 'magnet', 'fundament', 'magnet', 'properti', 'properti', 'earth', 'applic', 'rock', 'properti', 'rock', 'magnet', 'geophys', 'magnet', 'geophys', 'tool', 'physic', 'properti', 'ionospher', 'radio', 'half', 'deal', 'radio', 'wave', 'collis', 'frequenc', 'model', 'ionospher', 'frequenc', 'ionospher', 'deal', 'model', 'model', 'ionospher', 'wave', 'frequenc', 'half', 'deal', 'model']",2.0,43.0,17.0,"[[('magnet', 6), ('properti', 5), ('ionospher', 4), ('model', 4), ('rock', 3), ('deal', 3), ('frequenc', 3), ('fundament', 2), ('geophys', 2), ('radio', 2)]]","[[('magnet', 6), ('properti', 5), ('ionospher', 4), ('model', 4), ('rock', 3), ('deal', 3), ('frequenc', 3), ('fundament', 2), ('geophys', 2), ('radio', 2), ('half', 2), ('wave', 2), ('earth', 1), ('applic', 1), ('tool', 1), ('physic', 1), ('collis', 1)]]","[[('magnet', 6), ('properti', 5), ('ionospher', 4), ('model', 4), ('rock', 3), ('deal', 3), ('frequenc', 3), ('fundament', 2), ('geophys', 2), ('radio', 2), ('half', 2), ('wave', 2), ('earth', 1), ('applic', 1), ('tool', 1), ('physic', 1), ('collis', 1)]]","[[('magnet', 6), ('properti', 5), ('ionospher', 4), ('model', 4), ('rock', 3), ('deal', 3), ('frequenc', 3), ('fundament', 2), ('geophys', 2), ('radio', 2), ('half', 2), ('wave', 2), ('earth', 1), ('applic', 1), ('tool', 1), ('physic', 1), ('collis', 1)]]",0.0,,2.0,"[[('magnet', 6), ('properti', 5)]]",3.0,"[[('magnet', 6), ('properti', 5), ('ionospher', 4)]]",4.0,"[[('magnet', 6), ('properti', 5), ('ionospher', 4), ('model', 4)]]"
